Designator,Mid X,Mid Y,Rotation,Layer
R71,181.275,-51.060855,270.0,top
R79,139.0,-37.475,90.0,top
R8,146.735,-62.259998,270.0,top
R80,146.3,-37.475,90.0,top
R81,142.6,-24.45,180.0,top
R82,154.6,-84.5,180.0,top
R83,151.5,-86.1,180.0,top
R84,161.875,-101.4,180.0,top
R85,162.5,-99.1,90.0,top
R86,155.8,-101.6,180.0,top
R87,156.6,-99.205,90.0,top
R88,151.8,-90.65,270.0,top
R9,130.2,-63.61,90.0,top
R90,151.76,-95.305001,90.0,top
R91,163.0,-95.0,90.0,top
R92,159.5,-99.1,270.0,top
R93,154.575,-86.1,180.0,top
R94,153.38,-99.205,270.0,top
R95,160.217501,-96.8,180.0,top
R96,154.6,-87.6,0.0,top
R97,154.25,-96.89,0.0,top
R98,149.2,-82.1,270.0,top
R99,149.2,-79.0,270.0,top
SW1,114.05,-80.125,180.0,top
SW2,115.2,-36.7,270.0,top
SW3,124.1,-39.9,90.0,top
TH1,180.3,-58.5,0.0,top
TH2,180.125,-104.2,0.0,top
U10,175.575,-139.110855,180.0,top
U11,175.775,-52.710855,180.0,top
U12,142.665,-39.125,0.0,top
U13,157.232501,-92.3,180.0,top
U14,120.6,-145.2,0.0,top
U15,158.45,-25.410855,90.0,top
U16,158.25,-112.72171,90.0,top
U17,158.45,-67.410855,90.0,top
U2,117.5625,-58.45,180.0,top
U3,121.7,-114.6,180.0,top
U4,130.15,-95.3,180.0,top
U5,124.525,-88.325,270.0,top
U6,127.25,-72.325,270.0,top
U7,117.5625,-47.3,180.0,top
U8,120.7,-25.4,0.0,top
U9,175.575,-98.510855,180.0,top
Y1,110.25,-70.815,270.0,top
